course_id,course_name,instructor_or_pi,question_id,topic,phase,question,option_A,option_B,option_C,option_D,answer,difficulty,discrimination,student_id,group,score
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q083,Regression Models,post,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.9,0.82,S1082,C,74.82
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q084,Classification,pre,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.53,0.87,S1083,D,65.28
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q084,Classification,post,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.55,0.82,S1083,D,45.89
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q085,Neural Networks,pre,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.46,0.94,S1084,A,66.75
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q085,Neural Networks,post,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.43,0.87,S1084,A,66.06
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q086,Data Cleaning,pre,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.35,0.83,S1085,B,80.08
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q086,Data Cleaning,post,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.77,0.82,S1085,B,65.25
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q087,Feature Engineering,pre,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.24,0.89,S1086,C,56.13
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q087,Feature Engineering,post,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.33,0.72,S1086,C,64.1
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q088,AI Ethics,pre,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.47,0.94,S1087,D,56.84
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q088,AI Ethics,post,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.66,0.88,S1087,D,79.57
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q089,Blockchain Concepts,pre,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.89,0.75,S1088,A,79.68
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q089,Blockchain Concepts,post,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.44,0.81,S1088,A,73.6
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q090,Smart Contracts,pre,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.89,0.84,S1089,B,57.27
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q090,Smart Contracts,post,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.47,0.74,S1089,B,95.72
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q091,Data Visualization,pre,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.4,0.81,S1090,C,79.73
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q091,Data Visualization,post,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.34,0.89,S1090,C,75.74
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q092,Deep Learning,pre,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.48,0.56,S1091,D,47.52
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q092,Deep Learning,post,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.73,0.76,S1091,D,64.47
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q093,Text Mining,pre,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.76,0.88,S1092,A,72.15
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q093,Text Mining,post,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.7,0.71,S1092,A,69.94
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q094,Financial Modeling,pre,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.31,0.56,S1093,B,57.66
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q094,Financial Modeling,post,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.69,0.63,S1093,B,71.94
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q095,Data Governance,pre,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.3,0.6,S1094,C,63.03
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q095,Data Governance,post,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.72,0.83,S1094,C,40.37
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q096,Reinforcement Learning,pre,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.21,0.83,S1095,D,63.39
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q096,Reinforcement Learning,post,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.6,0.81,S1095,D,70.42
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q097,Data Structures,pre,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.89,0.57,S1096,A,69.51
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q097,Data Structures,post,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.87,0.69,S1096,A,70.04
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q098,Machine Learning,pre,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.79,0.92,S1097,B,65.98
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q098,Machine Learning,post,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.27,0.94,S1097,B,68.84
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q099,Regression Models,pre,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.33,0.52,S1098,C,70.2
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q099,Regression Models,post,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.89,0.79,S1098,C,65.92
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q100,Classification,pre,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.62,0.94,S1099,D,63.81
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q100,Classification,post,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.64,0.68,S1099,D,89.37
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q101,Neural Networks,pre,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.22,0.61,S1100,A,69.44
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q101,Neural Networks,post,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.54,0.81,S1100,A,67.1
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q102,Data Cleaning,pre,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.87,0.79,S1101,B,66.02
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q102,Data Cleaning,post,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.46,0.81,S1101,B,77.41
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q103,Feature Engineering,pre,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.76,0.8,S1102,C,75.31
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q103,Feature Engineering,post,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.74,0.89,S1102,C,78.44
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q104,AI Ethics,pre,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.66,0.62,S1103,D,72.59
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q104,AI Ethics,post,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.66,0.67,S1103,D,75.77
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q105,Blockchain Concepts,pre,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.28,0.54,S1104,A,67.83
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q105,Blockchain Concepts,post,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.54,0.8,S1104,A,68.58
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q106,Smart Contracts,pre,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.56,0.51,S1105,B,71.46
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q106,Smart Contracts,post,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.6,0.76,S1105,B,54.64
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q107,Data Visualization,pre,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.39,0.84,S1106,C,77.43
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q107,Data Visualization,post,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.76,0.58,S1106,C,66.27
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q108,Deep Learning,pre,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.54,0.79,S1107,D,56.81
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q108,Deep Learning,post,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.5,0.76,S1107,D,77.51
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q109,Text Mining,pre,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.27,0.53,S1108,A,65.4
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q109,Text Mining,post,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.84,0.86,S1108,A,71.15
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q110,Financial Modeling,pre,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.33,0.87,S1109,B,51.79
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q110,Financial Modeling,post,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.21,0.75,S1109,B,74.21
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q111,Data Governance,pre,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.58,0.87,S1110,C,65.58
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q111,Data Governance,post,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.54,0.73,S1110,C,81.02
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q112,Reinforcement Learning,pre,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.61,0.82,S1111,D,48.77
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q112,Reinforcement Learning,post,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.75,0.56,S1111,D,72.03
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q113,Data Structures,pre,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.73,0.93,S1112,A,63.06
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q113,Data Structures,post,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.83,0.58,S1112,A,55.48
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q114,Machine Learning,pre,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.62,0.58,S1113,B,67.93
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q114,Machine Learning,post,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.59,0.86,S1113,B,74.4
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q115,Regression Models,pre,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.29,0.56,S1114,C,67.55
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q115,Regression Models,post,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.34,0.57,S1114,C,69.29
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q116,Classification,pre,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.59,0.88,S1115,D,62.69
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q116,Classification,post,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.22,0.94,S1115,D,93.84
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q117,Neural Networks,pre,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.55,0.66,S1116,A,56.46
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q117,Neural Networks,post,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.58,0.69,S1116,A,57.2
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q118,Data Cleaning,pre,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.86,0.5,S1117,B,70.67
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q118,Data Cleaning,post,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.41,0.93,S1117,B,75.07
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q119,Feature Engineering,pre,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.56,0.85,S1118,C,73.08
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q119,Feature Engineering,post,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.66,0.7,S1118,C,60.19
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q120,AI Ethics,pre,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.6,0.81,S1119,D,83.14
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q120,AI Ethics,post,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.57,0.94,S1119,D,82.99
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q121,Blockchain Concepts,pre,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.45,0.74,S1120,A,52.38
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q121,Blockchain Concepts,post,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.35,0.54,S1120,A,81.3
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q122,Smart Contracts,pre,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.77,0.61,S1121,B,67.13
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q122,Smart Contracts,post,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.33,0.63,S1121,B,70.11
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q123,Data Visualization,pre,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.78,0.93,S1122,C,82.15
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q123,Data Visualization,post,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.62,0.6,S1122,C,66.84
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q124,Deep Learning,pre,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.45,0.56,S1123,D,49.43
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q124,Deep Learning,post,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.64,0.53,S1123,D,82.51
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q125,Text Mining,pre,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.38,0.67,S1124,A,65.5
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q125,Text Mining,post,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.83,0.68,S1124,A,70.15
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q126,Financial Modeling,pre,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.26,0.61,S1125,B,62.15
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q126,Financial Modeling,post,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.5,0.81,S1125,B,77.44
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q127,Data Governance,pre,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.58,0.53,S1126,C,66.54
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q127,Data Governance,post,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.71,0.95,S1126,C,67.29
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q128,Reinforcement Learning,pre,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.69,0.59,S1127,D,52.28
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q128,Reinforcement Learning,post,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.46,0.8,S1127,D,69.06
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q129,Data Structures,pre,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.77,0.77,S1128,A,67.63
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q129,Data Structures,post,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.49,0.57,S1128,A,71.32
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q130,Machine Learning,pre,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.89,0.7,S1129,B,63.85
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q130,Machine Learning,post,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.22,0.77,S1129,B,88.72
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q131,Regression Models,pre,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.25,0.56,S1130,C,78.24
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q131,Regression Models,post,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.28,0.75,S1130,C,77.08
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q132,Classification,pre,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.25,0.79,S1131,D,87.5
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q132,Classification,post,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.45,0.65,S1131,D,69.52
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q133,Neural Networks,pre,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.39,0.89,S1132,A,74.96
